Symbol,Security,Sector,Market Cap,Price,Book Value,Earnings/Share,EBITDA,Price/Sales,52 week low,52 week high,Sub Industry,Address of Headquarters
EOG,EOG Resources,Energy,30.33,82.77,10.36,2.89,2.2,2.66,75.29,97.48,Oil & Gas Exploration & Production,"Houston, Texas"
EQT,EQT Corporation,Energy,18.56,58.56,33.8,2.96,2.55,2.42,50.56,60.44,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania"
EFX,Equifax Inc.,Industrials,33.48,36.13,27.96,1.22,9.13,1.07,29.82,37.7,Research & Consulting Services,"Atlanta, Georgia"
EQIX,Equinix,Real Estate,18.34,122.39,27.54,1.82,1.07,2.07,96.58,133.55,Specialized REITs,"Redwood City, California"
EQR,Equity Residential,Real Estate,10.1,56.05,10.26,2.36,0.71696,1.67,46.42,57.35,Residential REITs,"Chicago, Illinois"
ESS,"Essex Property Trust, Inc.",Real Estate,40.82,67.39,26.81,5.39,7.1,0.42,64.46,80.02,Residential REITs,"Palo Alto, California"
EL,Estee Lauder Cos.,Consumer Staples,9.92,78.99,17.88,2.91,0.6492899999999999,9.93,68.09,94.81,Personal Products,"New York, New York"
ES,Eversource Energy,Utilities,342.17,82.52,40.34,1.88,23.24,1.74,80.76,95.55,Multi-Utilities,"Springfield, Massachusetts"
EXC,Exelon Corp.,Utilities,9.3,143.6,18.44,5.54,0.61023,4.53,93.64,148.34,Multi-Utilities,"Chicago, Illinois"
EXPE,Expedia Inc.,Consumer Discretionary,396.79,137.3,20.51,3.49,14.84,14.37,105.49,138.37,Internet & Direct Marketing Retail,"Bellevue, Washington"
EXPD,Expeditors International,Industrials,14.86,51.37,6.68,1.73,0.89936,3.81,37.7,52.64,Air Freight & Logistics,"Seattle, Washington"
ESRX,Express Scripts,Health Care,9.62,133.39,27.32,3.5,0.51283,12.08,132.91,171.08,Health Care Distributors,"Cool Valley, Missouri"
EXR,Extra Space Storage,Real Estate,51.41,192.91,54.52,6.8,7.86,0.94,139.58,201.57,Specialized REITs,"Salt Lake City, Utah"
XOM,Exxon Mobil Corp.,Energy,27.17,82.64,29.7,1.72,2.27,2.94,59.11,83.86,Integrated Oil & Gas,"Irving, Texas"
FFIV,F5 Networks,Information Technology,20.55,27.37,19.82,1.93,0,3.56,16.02,28.97,Communications Equipment,"Seattle, Washington"
FB,"Facebook, Inc.",Information Technology,3.39,32.63,50.1,-3.48,0.57174,1.17,28.6,74.29,Internet Software & Services,"Menlo Park, California"
FAST,Fastenal Co,Industrials,13.8,31.18,14.11,-14.5,4.12,0.98,29.33,36.6,Building Products,"Winona, Minnesota"
FRT,Federal Realty Investment Trust,Real Estate,25.09,116.95,11.79,4.15,1.72,4.56,92.81,117.54,Retail REITs,"Rockville, Maryland"
FDX,FedEx Corporation,Industrials,4.98,36.5,12.31,1.2,0.35466000000000003,2.99,28.26,37.44,Air Freight & Logistics,"Memphis, Tennessee"
FIS,Fidelity National Information Services,Information Technology,6,46,12.7,1.11,0.47792,1.51,39.13,52.5,Internet Software & Services,"Jacksonville, Florida"
FITB,Fifth Third Bancorp,Financials,7.68,55.08,22.44,2,0.88816,0.4,44.05,58.37,Regional Banks,"Cincinnati, Ohio"
FE,FirstEnergy Corp,Utilities,7.9,59.09,14.64,1.56,0.7143999999999999,2.41,36.72,62.84,Electric Utilities,"Akron, Ohio"
FISV,Fiserv Inc,Information Technology,3.76,31.9,43.01,2.47,1.16,0.43,30.61,36.14,Internet Software & Services,"Brookfield, Wisconsin"
FLIR,FLIR Systems,Information Technology,10.09,75.72,20.33,4.91,1.16,1.31,50.9,79.43,Electronic Equipment & Instruments,"Wilsonville, Oregon"
FLS,Flowserve Corporation,Industrials,49.52,12.46,7.34,1.15,13.3,0.33,11.07,14.22,Industrial Machinery,"Irving, Texas"
FLR,Fluor Corp.,Industrials,20.13,58.2,7.77,2.51,1.44,3.24,43,59.24,Construction & Engineering,"Irving, Texas"
FMC,FMC Corporation,Materials,8.87,57.92,15.39,2.62,0.7747,1.78,50.39,64.47,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania"
FL,Foot Locker Inc,Consumer Discretionary,23.96,42.38,21.15,2.97,2.32,3.73,30.56,44.1,Apparel Retail,"New York, New York"
F,Ford Motor,Consumer Discretionary,18.34,12.69,4.19,-3.15,3.85,1.26,8.47,17.06,Automobile Manufacturers,"Dearborn, Michigan"
FTV,Fortive Corp,Industrials,3.07,2.62,3.85,-0.51,3.47,0.36,2.57,5.75,Industrial Machinery,"Everett, Washington"
FBHS,Fortune Brands Home & Security,Industrials,9.65,24.18,7.28,1.69,1.92,0.63,17,30.74,Building Products,"Deerfield, Illinois"
BEN,Franklin Resources,Financials,9.71,51.51,18.13,2.7,0.71025,3.23,38.4,56.19,Asset Management & Custody Banks,"San Mateo, California"
FCX,Freeport-McMoRan Inc.,Materials,57.69,191.47,36.43,9.52,4.76,1.83,127.74,193.17,Copper,"Phoenix, Arizona"
GPS,Gap Inc.,Consumer Discretionary,260.52,29.86,8.67,0.89,17.14,2.18,28.19,33,Apparel Retail,"San Francisco, California"
GRMN,Garmin Ltd.,Consumer Discretionary,21.14,23.92,9.5,1.34,1.86,8.25,23.7,32.1,Consumer Electronics,"Schaffhausen, Switzerland"
IT,Gartner Inc,Information Technology,34.95,60.25,7.2,2.68,3.38,2.2,58.7,72.95,IT Consulting & Other Services,"Stamford, Connecticut"
GD,General Dynamics,Industrials,56.2,37.52,29.22,6,19.68,0.34,27.34,38.55,Aerospace & Defense,"Falls Church, Virginia"
GE,General Electric,Industrials,13.88,93.52,21.52,4.59,1.22,0.91,86.61,105.97,Industrial Conglomerates,"Fairfield, Connecticut"
GGP,General Growth Properties Inc.,Real Estate,90.21,69.02,14.42,9.94,19.22,3.02,65.38,103.1,Retail REITs,"Chicago, Illinois"
GIS,General Mills,Consumer Staples,12.31,80.89,17.29,1.39,0.9893500000000001,3.23,58.11,81.56,Packaged Foods & Meats,"Golden Valley, Minnesota"
GM,General Motors,Consumer Discretionary,104.08,250.9,182.46,16.29,0,3.42,138.2,255.15,Automobile Manufacturers,"Detroit, Michigan"
GPC,Genuine Parts,Consumer Discretionary,8.88,35.27,17.91,4.74,2.51,0.59,24.31,36.61,Specialty Stores,"Atlanta, Georgia"
GILD,Gilead Sciences,Health Care,14.74,250.59,30.58,9.87,1.46,1.46,201.94,262.71,Biotechnology,"Foster City, California"
GPN,Global Payments Inc,Information Technology,45.92,52.97,10.86,-6.69,2.16,2.94,33.26,58.78,Data Processing & Outsourced Services,"Atlanta, Georgia"
GS,Goldman Sachs Group,Financials,7.57,19.98,3.23,1.41,1.01,1.28,18.91,30.42,Investment Banking & Brokerage,"New York, New York"
